artist_popularity,followers,genres,id,name
40,88632,"['new jack swing', 'quiet storm', 'urban contemporary']",4D0WfOUqTzqKysXt33VL3j,Michel'le
36,128,['jazz saxophone'],7p1C6cbN2rgBErzfB1u3Z7,Julian Dash
24,2510,['colombian rock'],2saVhSlCKjNZnW4QZcFHkE,Velandia y La Tigra
5,0,[],34GjZMS9OneCAzsZxToZyM,Ana María Villa
55,80107,"['anthem worship', 'ccm', 'christian music', 'deep ccm', 'world worship', 'worship']",1vaOLxWPpsv5LVsSHBy9tF,Jason Upton
18,0,[],2oWRKLPtteLL12fsHQEr1b,나선
5,299,[],44srTNCsb7UzMc2L0dnABg,Animales Blancos
57,231467,"['christian hip hop', 'christian trap']",12H1Dmi64fAmmARrsyVFzy,Trip Lee
44,12215,"['bebop', 'contemporary post-bop', 'cool jazz', 'hard bop', 'jazz', 'jazz piano', 'soul jazz', 'stride']",0BhFfJmScFj7OzqVaDqnSv,Hank Jones
24,29,[],3NEbGrK1xXcTac2hAWaDOM,Yang Dail
19,124,[],7v7PLqTrbbzOuDYRtmLK76,The Bridge
33,32925,['reggae en espanol'],07RneuQafxLKe0gPYVd2Ko,Lion Reggae
27,425,[],0uMdSPqGMACq3BFqRSaEQ5,Czar Josh
36,103,[],4axppWITVnSFvu6qEiMeHs,Caleb Tucker
20,37,[],7dtLB4nNk2VStOyW10p3od,COTA
26,529,[],2klhHHmpW7xu4lmdLm7ULj,Kate Kim
4,34,[],4tSBsnTqYpx7WBMt9WEq1E,Andrés Corredor
17,177,[],1ZFNcadNEdXBINRj8YJf5y,Aon Smith
45,17189,"['christian hip hop', 'christian trap']",1I402d4s0Xe8EntQI3u96l,Sevin
19,2,[],4pkhTOelwMHVvfxkRXC4Qc,Eunchae
42,20533,[],5IMXUzbeAyevQmvtOhXQGi,DOYOUNG
51,17669,[],0ebNdVaOfp6N0oZ1guIxM8,SUGA
35,2703,"['christian hip hop', 'christian trap']",0GdzQJqgRL5SHp7kXOKba0,Wande
36,89,[],1AkAeC2kRjTiMFqIkAJbcb,Trae Perry
34,34,[],6H9BOh1aFTuoa6xFMV3z8g,1ho
32,444,[],5FCF1SbJyriEYn8j41v0yn,KIM BUMSOO
12,150,[],0xWNovyaTeN6yIx0x2ERiv,Soul Stayz
17,344,[],0k9MEyUMyo7Tx0F1C1cnCi,Ilish
18,26,[],38Cu9G5VYON5pk76RdKyGd,NaktaCho2
19,479,"['colombian indie', 'nu-cumbia']",2TcRGEZR3tYPVDe71l5Fui,Julián Mayorga
25,607,[],6MqxpdnAX09GQsbhc0bvrZ,Espresso
